205,GJ 667 C c,GJ 667 C f,GJ 667 C e,1.3868515,1.5948342,3.815,2.7023,2.7023,28.14,39.026,62.24
205,GJ 667 C f,GJ 667 C e,GJ 667 C d,1.5948342,1.471883,2.7023,2.7023,5.0994,39.026,62.24,91.61
520,HD 158259 b,HD 158259 c,HD 158259 d,1.5757576,1.5145688,2.7023,5.5,5.3093,2.178,3.432,5.198
520,HD 158259 c,HD 158259 d,HD 158259 e,1.5145688,1.5302039,5.5,5.3093,5.7861,3.432,5.198,7.954
520,HD 158259 d,HD 158259 e,HD 158259 f,1.5302039,1.5124466,5.3093,5.7861,6.3902,5.198,7.954,12.03
638,HD 215152 b,HD 215152 c,HD 215152 d,1.2646283,1.491618,1.9965,1.5263,2.7058,5.7594,7.2835,10.8642
735,HD 40307 d,HD 40307 e,HD 40307 f,1.6960611,1.4927787,8.7428,3.4971,3.6243,20.412,34.62,51.68
971,K2-138 b,K2-138 c,K2-138 d,1.5127911,1.5182449,3.1156,6.2948,7.9162,2.3532,3.5599,5.4048
971,K2-138 c,K2-138 d,K2-138 e,1.5182449,1.5285302,6.2948,7.9162,13.0029,3.5599,5.4048,8.2614
971,K2-138 d,K2-138 e,K2-138 f,1.5285302,1.5442419,7.9162,13.0029,1.5896,5.4048,8.2614,12.7576
978,K2-148 b,K2-148 c,K2-148 d,1.5790962,1.4095715,0.0,0.0,0.0,4.3839,6.9226,9.7579
1073,K2-239 b,K2-239 c,K2-239 d,1.4837786,1.3009646,1.3988,0.8902,1.3035,5.24,7.775,10.115
1122,K2-285 c,K2-285 d,K2-285 e,1.4648081,1.411934,15.683,6.5015,10.7044,7.138,10.4558,14.7629
1284,KOI-351 d,KOI-351 e,KOI-351 f,1.5390723,1.3586646,0.0,0.0,0.0,59.7367,91.9391,124.9144
1284,KOI-351 e,KOI-351 f,KOI-351 g,1.3586646,1.6860106,0.0,0.0,0.0,91.9391,124.9144,210.607
