# name,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,discovered,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,log_g,detection_type,star_name,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max
11 Com b,,,,19.4,1.5,1.5,,,,326.03,0.32,0.32,1.29,0.05,0.05,0.231,0.005,0.005,,,,2008,94.8,1.5,1.5,2452899.6,1.6,1.6,,,,,Radial Velocity,11 Com,110.6,10.5,10.5,-0.35,0.09,0.09,2.7,0.3,0.3,19,2,2,,,,4742,100,100
11 Oph b,21,3,3,,,,,,,730000,365000,365000,243,55,55,,,,,,,2007,,,,,,,,,,,Imaging,11 Oph,145,20,20,,,,0.0162,0.005,0.005,,,,0.011,0.002,0.002,2375,175,175
11 UMi b,,,,10.5,2.47,2.47,,,,516.22,3.25,3.25,1.54,0.07,0.07,0.08,0.03,0.03,,,,2009,117.63,21.06,21.06,2452861.05,2.06,2.06,,,,,Radial Velocity,11 UMi,119.5,6.9,6.9,0.04,0.04,0.04,1.8,0.25,0.25,24.08,1.84,1.84,1.56,0.54,0.54,4340,70,70
14 And b,,,,5.33,0.57,0.57,,,,185.84,0.23,0.23,0.83,,,0,,,,,,2008,,,,2452861.4,1.5,1.5,,,,,Radial Velocity,14 And,76.4,4.1,4.1,-0.24,,,2.2,0.2,0.2,11,1,1,,,,4813,20,20
14 Her b,,,,4.64,0.19,0.19,,,,1773.4,2.5,2.5,2.77,0.05,0.05,0.369,0.005,0.005,,,,2002,22.6,0.9,0.9,2451372.7,3.6,3.6,,,,,Radial Velocity,14 Her,18.1,,,0.43,0.08,0.08,0.9,,,0.708,0.085,0.085,5.1,,,5311,87,87
14 Her c,5.8,1,1.4,,,,,,,6906,70,70,16.4,4.3,0.3,0.45,0.17,0.17,,,,2006,218,,,9100,,,,,,,Radial Velocity,14 Her,18.1,,,0.43,0.08,0.08,0.9,,,0.708,0.085,0.085,5.1,,,5311,87,87
16 Cyg B b,,,,1.68,0.07,0.07,,,,799.5,0.6,0.6,1.68,0.03,0.03,0.689,0.011,0.011,,,,1996,83.4,2.1,2.1,2450539.3,1.6,1.6,,,,,Radial Velocity,16 Cyg B,21.41,0.24,0.24,0.08,0.04,0.04,1.01,0.04,0.04,0.98,0.13,0.13,8,1.8,1.8,5766,60,60
17 Sco b,,,,4.32,0.12,0.15,,,,578.38,2,2,1.45,0.02,0.02,0.06,0.02,0.03,,,,2020,57.03,106.77,113.18,2453294.28,182.91,174.23,,,,,Radial Velocity,17 Sco,116,4.53,4.91,-0.01,0.1,0.1,1.22,0.14,0.14,25.92,0.74,0.78,5.13,1.33,2.12,4157,11,11
18 Del b,,,,10.3,,,,,,993.3,3.2,3.2,2.6,,,0.08,0.01,0.01,,,,2008,166.1,6.5,6.5,2451672,18,18,,,,,Radial Velocity,18 Del,73.1,3.5,3.5,-0.052,0.023,0.023,2.3,,,8.5,,,,,,4979,18,18
1RXS 1609 b,14,3,2,,,,1.7,,,,,,330,0,0,,,,,,,2008,,,,,,,,,,4,Imaging,1RXS 1609,145,20,20,,,,0.73,0.05,0.05,1.35,,,0.011,0.002,0.002,4060,200,200
1RXS J235133.3+312720 b,32,6,6,,,,,,,,,,120,20,20,,,,,,,2012,,,,,,,,,,,Imaging,1RXS J235133.3+312720,,,,,,,0.45,0.05,0.05,,,,0.1,0.05,0.05,,,
1SWASP J1407 b,,,,20,6,6,,,,3725,900,900,3.9,1.7,1.7,,,,,,,2012,,,,,,,,,,,Primary Transit,1SWASP J1407,133,12,12,,,,0.9,,,0.99,0.11,0.11,0.016,,,4400,100,100
24 Boo b,,,,0.91,0.1,0.13,,,,30.3506,0.0078,0.0078,0.19,0.009,0.012,0.042,0.029,0.048,,,,2018,210,130,100,2450008.6,7.9,10.1,,,,,Radial Velocity,24 Boo,100,2.5,2.5,-0.77,0.03,0.03,0.99,0.13,0.19,10.64,0.59,0.84,6.92,4.8,4.8,4893,15,15
24 Sex b,,,,1.99,0.38,0.26,,,,452.8,4.5,2.1,1.333,0.009,0.004,0.09,0.06,0.14,,,,2010,9.2,165.4,277.9,2454762,172.3,172.3,,,,,Radial Velocity,24 Sex,72.2084,0.6832,0.6832,-0.03,0.04,0.04,1.54,0.08,0.08,4.9,0.08,0.08,2.7,0.4,0.4,5098,44,44
24 Sex c,,,,0.86,0.22,0.35,,,,883,14,32,2.08,0.02,0.05,0.29,0.09,0.16,,,,2010,220.5,320.9,182.2,2454930,96.5,96.5,,,,,Radial Velocity,24 Sex,72.2084,0.6832,0.6832,-0.03,0.04,0.04,1.54,0.08,0.08,4.9,0.08,0.08,2.7,0.4,0.4,5098,44,44
2M 0103-55 (AB) b,13,1,1,,,,,,,,,,84,,,,,,,,,2013,,,,,,,,,,,Imaging,2M 0103-55 (AB),47.2,3.1,3.1,,,,0.4,,,,,,0.03,,,,,
2M 0122-24 b,20,7,7,,,,1,0.2,0.2,,,,52,6,6,,,,,,,2013,,,,,,,,,,,Imaging,2M 0122-24,36,4,4,,,,0.4,0.05,0.05,,,,0.12,0.01,0.01,,,
2M 0219-39 b,13.9,1.1,1.1,,,,1.44,0.03,0.03,,,,156,10,10,,,,,,,2015,,,,,,,,,,,Imaging,2M 0219-39,39.4,2.6,2.6,,,,0.11,0.01,0.01,0.27,0.01,0.01,,,,3064,76,76
2M 0441+23 b,7.5,2.5,2.5,,,,,,,,,,15,0.6,0.6,,,,,,,2010,,,,,,,,,,,Imaging,2M 0441+23,140,,,,,,0.02,,,,,,0.001,,,,,
2M 1938+46 b,1.9,0.1,0.1,,,,,,,416,2,2,0.92,0.02,0.02,,,,,,,2015,,,,,,,,,,,Timing,2M  1938+46,,,,,,,0.6,0.03,0.03,,,,,,,,,
2M 2140+16 b,20,20,80,,,,0.92,0.39,0.39,7340,584,584,3.53,0.15,0.15,0.26,0.06,0.06,46.2,8.7,8.7,2010,223,47,47,,,,,,,,Imaging,2M 2140+16,25,10,10,,,,0.08,0.06,0.06,0.1,0.043,0.043,,,,2300,80,80
2M 2206-20 b,30,20,70,,,,1.3,0.18,0.18,8686,69.4,69.4,4.48,0.4,0.4,0,,,44.3,0.7,0.7,2010,,,,,,,,,,,Imaging,2M 2206-20,26.67,2.63,2.63,,,,0.13,0.05,0.05,0.11,0.015,0.015,,,,2350,80,80
2M 2236+4751 b,12.5,1.5,1.5,,,,,,,,,,230,20,20,,,,,,,2016,,,,,,,,,,,Imaging,2M 2236+4751,63,,,,,,0.6,0.05,0.05,,,,0.12,0.01,0.01,,,
2M J2126-81 b,13.3,1.7,1.7,,,,,,,,,,6900,,,,,,,,,2016,,,,,,,,,,,Imaging,TYC 9486-927-1,24.75,4.25,4.25,,,,0.4,,,,,,0.027,0.017,0.017,,,
2M1059-21 b,66.95,4.84,4.41,,,,,,,690,3,3.4,0.8,0.02,0.01,0.146,0.053,0.074,32.9,3.44,2.94,2020,256,29,59,,,,,,,,Astrometry,2M1059-21,31.81,0.7,0.7,,,,0.81,0.008,0.002,,,,,,,,,
2MASS 0359+2009 b,20,5,5,,,,,,,,,,540,,,,,,,,,2019,,,,,,,,,,,Imaging,2MASS 0359+2009,117.76,2.3,2.3,,,,0.06,0.01,0.01,,,,0.0075,0.0025,0.0025,2900,50,50
2MASS J11193254 AB,3.7,0.9,1.2,,,,,,,32850,,,,,,,,,,,,2017,,,,,,,,,,,Imaging,2MASS J11193254 AB,,,,,,,,,,,,,0.01,0.003,0.003,,,
2MASS J1155-7919 b,10,,,,,,,,,,,,582,,,,,,,,,2020,,,,,,,,,,,Imaging,2MASS J1155-7919,101.15,0.5,0.5,,,,,,,,,,0.005,,,,,
2MASS J1450-7841 A,40,,,,,,,,,,,,300,,,,,,,,,2017,,,,,,,,,,,Imaging,2MASS J1450-7841 B,75,25,25,,,,0.04,,,,,,,,,,,
2MASS J1450-7841 B,40,,,,,,,,,,,,300,,,,,,,,,2017,,,,,,,,,,,Imaging,2MASS J1450-7841 A,75,,,,,,0.04,,,,,,,,,,,
2MASS J2250+2325 b,30,4,11,,,,,,,,,,518,40,40,,,,,,,2017,,,,,,,,,,,Imaging,2MASS J2250+2325,41.5,10,10,,,,,,,,,,0.15,,,,,
3 Cnc b,,,,20.76,0.73,0.73,,,,853.64,4.76,4.76,2.52,0.04,0.03,0.04,0.03,0.04,,,,2020,275.18,96.04,73.58,2453806.7,175.74,227,,,,,Radial Velocity,3 Cnc,243.3,26.86,34.46,0.06,0.1,0.1,2.94,0.33,0.36,39.38,3.3,3.68,0.43,0.12,0.22,4319,22,34
30 Ari B b,,,,9.88,0.94,0.94,,,,335.1,2.5,2.5,0.995,0.012,0.012,0.289,0.092,0.092,,,,2009,307,18,18,2454538,20,20,,,,,Radial Velocity,30 Ari B,39.4,1.7,1.7,0.12,0.08,0.08,1.22,0.08,0.08,1.23,0.07,0.07,0.91,0.03,0.03,6484,98,98
38 Vir b,,,,4.51,0.5,0.5,,,,825.9,6.2,6.2,1.82,0.07,0.07,0.03,0.04,0.04,,,,2016,,,,,,,,,,,Primary Transit,38 Vir,,,,0.07,,,1.18,0.12,0.12,1.45,0.07,0.07,1.9,0.7,0.6,6557,96,96
4 Uma b,,,,7.1,1.6,1.6,,,,269.3,1.96,1.96,0.87,0.04,0.04,0.432,0.024,0.024,,,,2007,23.81,4.42,4.42,2452987.3936,4.31,4.31,,,,,Radial Velocity,4 Uma,78.5,1.6,1.6,-0.25,0.04,0.04,1.234,0.15,0.15,,,,4.604,2,2,4415,70,70
42 Dra b,,,,3.88,0.85,0.85,,,,479.1,6.2,6.2,1.19,0.01,0.01,0.38,0.06,0.06,,,,2009,218.7,10.6,10.6,2452757.4,3.7,3.7,,,,,Radial Velocity,42 Dra,97.3,5,5,-0.46,0.05,0.05,0.98,0.05,0.05,22.03,1,1,9.49,1.76,1.76,4200,70,70
44 Uma b,,,,12.11,0.85,0.2,,,,785.74,4.77,4.8,2.16,0.06,0.02,0.11,0.06,0.06,,,,2020,135.6,45.6,40.66,2453560.34,90.8,98.9,,,,,Radial Velocity,44 Uma,200.4,12.43,14.19,-0.21,0.1,0.1,2.19,0.43,0.1,45.12,2.32,1.97,1.05,0.18,0.5,4215,13,13
47 Uma b,,,,2.53,0.06,0.07,,,,1078,2,2,2.1,0.02,0.02,0.032,0.014,0.014,,,,1996,334,23,23,2451917,76,63,,,,,Radial Velocity,47 Uma,13.97,1.91,1.91,0,0.07,0.07,1.03,0.05,0.05,1.24,0.04,0.04,7.4,1.9,1.9,5892,70,70
47 Uma c,,,,0.54,0.073,0.066,,,,2391,87,100,3.6,0.1,0.1,0.098,0.096,0.047,,,,2001,295,160,114,2456441,825,628,,,,,Radial Velocity,47 Uma,13.97,1.91,1.91,0,0.07,0.07,1.03,0.05,0.05,1.24,0.04,0.04,7.4,1.9,1.9,5892,70,70
47 Uma d,,,,1.64,0.48,0.29,,,,14002,5095,4018,11.6,2.9,2.1,0.16,0.16,0.09,,,,2010,110,160,132,2451736,5051,6783,,,,,Radial Velocity,47 Uma,13.97,1.91,1.91,0,0.07,0.07,1.03,0.05,0.05,1.24,0.04,0.04,7.4,1.9,1.9,5892,70,70
51 Eri b,2.6,0.3,0.3,,,,1.11,0.13,0.16,10260,1800,6300,11.1,1.3,4.2,0.49,0.15,0.15,136,11,11,2015,84,58,58,2452014.79,12,12,,,,3.5,Imaging,51 Eri,29.4,0.3,0.3,-0.027,,,1.75,0.05,0.05,,,,0.02,0.006,0.006,,,
51 Peg b,0.47,0.07,0.03,0.46,0.06,0.01,1.9,0.3,0.3,4.2308,3.72905E-05,3.72905E-05,0.052,,,0.0069,0.0066,0.0069,80,10,19,1995,54.1,72.3,72.3,2450404.4,,,,,,,Radial Velocity,51 Peg,14.7,,,0.2,0.07,0.07,1.11,0.06,0.06,1.266,0.046,0.046,4,2.5,2.5,5793,70,70
55 Cnc b,0.84,0.031,0.23,0.84,0.031,0.131,,,,14.65314,0.00095,0.0009,0.11339,0.00011,0.00011,0.0023,0.0016,0.0025,89.73,24.54,24.49,1996,110,54,54,2453035,2.2,2.2,,,,,Radial Velocity,55 Cnc,12.34,0.4,0.4,0.31,0.04,0.04,1.015,0.051,0.051,0.98,0.016,0.016,10.2,2.5,2.5,5196,24,24
55 Cnc c,,,,0.1784,0.0078,0.0275,,,,44.373,0.018,0.02,0.23735,0.00024,0.00024,0.072,0.014,0.013,,,,2002,356,22,22,2453983,3,3,,,,,Radial Velocity,55 Cnc,12.34,0.4,0.4,0.31,0.04,0.04,1.015,0.051,0.051,0.98,0.016,0.016,10.2,2.5,2.5,5196,24,24
55 Cnc d,,,,3.86,0.15,0.6,,,,4867,26,25,5.446,0.02,0.02,0.0269,0.0065,0.061,,,,2002,254,32,32,2453490,437,437,,,,,Radial Velocity,55 Cnc,12.34,0.4,0.4,0.31,0.04,0.04,1.015,0.051,0.051,0.98,0.016,0.016,10.2,2.5,2.5,5196,24,24
55 Cnc e,0.02703,0.00135,0.00135,,,,0.1737,0.00339,0.00339,0.7365478,1.2E-06,1.6E-06,0.015439,1.5E-05,1.5E-05,0.028,0.019,0.022,90.36,4.66,3.96,2004,170,130,130,2449999.83643,0.0001,0.0001,72.4,12,12,,Primary Transit,55 Cnc,12.34,0.4,0.4,0.31,0.04,0.04,1.015,0.051,0.051,0.98,0.016,0.016,10.2,2.5,2.5,5196,24,24
55 Cnc f,,,,0.1479,0.0093,0.0219,,,,260.91,0.36,0.36,0.7733,0.001,0.001,0.08,0.057,0.102,,,,2007,139,8,8,2451878,5,5,,,,,Radial Velocity,55 Cnc,12.34,0.4,0.4,0.31,0.04,0.04,1.015,0.051,0.051,0.98,0.016,0.016,10.2,2.5,2.5,5196,24,24
6 Lyn b,,,,2.01,0.077,0.077,,,,934.3,8.6,8.6,2.11,0.11,0.11,0.073,0.036,0.036,,,,2008,130,38,38,2455384,94,94,,,,,Radial Velocity,6 Lyn,56.9,2.5,2.5,-0.13,0.02,0.02,1.7,0.2,0.2,5.2,0.3,0.3,,,,4978,18,18
61 Vir b,,,,0.016,0.0016,0.0016,,,,4.215,0.0006,0.0006,0.050201,5E-06,5E-06,0.12,0.11,0.11,,,,2009,105,54,54,2453369.166,,,,,,,Radial Velocity,61 Vir,8.52,0.05,0.05,-0.01,,,0.95,0.03,0.03,0.94,0.029,0.029,8.96,3,3,5531,,
61 Vir c,,,,0.0573,0.0035,0.0035,,,,38.021,0.034,0.034,0.2175,0.0001,0.0001,0.14,0.06,0.06,,,,2009,341,38,38,2453369.166,,,,,,,Radial Velocity,61 Vir,8.52,0.05,0.05,-0.01,,,0.95,0.03,0.03,0.94,0.029,0.029,8.96,3,3,5531,,
61 Vir d,,,,0.072,0.008,0.008,,,,123.01,0.55,0.55,0.476,0.001,0.001,0.35,0.09,0.09,,,,2009,314,20,20,2453369.166,,,,,,,Radial Velocity,61 Vir,8.52,0.05,0.05,-0.01,,,0.95,0.03,0.03,0.94,0.029,0.029,8.96,3,3,5531,,
7 CMA c,,,,0.906,0.06,0.06,,,,988.9,52,1.5,2.143,0.08,0.003,0.046,0.04,0.05,,,,2019,226.6,40,7.7,,,,,,,,Radial Velocity,7 CMa,19.75,0.09,0.09,0.21,0.1,0.1,1.52,0.3,0.3,2.3,0.1,0.1,,,,4792,100,100
7 CMa b,,,,1.895,0.04,0.06,,,,736.9,1,14.8,1.761,0.01,0.024,0.055,0.03,0.03,,,,2011,116.4,71,5,2454093,34,34,,,,,Radial Velocity,7 CMa,19.75,0.09,0.09,0.21,0.1,0.1,1.52,0.3,0.3,2.3,0.1,0.1,,,,4792,100,100
70 Vir b,,,,6.6,,,,,,116.67,0.01,0.01,0.48,,,0.43,,,,,,1996,2.1,2,2,2448990.403,0.5,0.5,,,,,Radial Velocity,70 Vir,22,,,-0.11,,,0.92,,,1.968,0.047,0.047,7.09,,,5432,,
75 Cet b,,,,3,,,,,,691.9,3.6,3.6,2.1,,,,,,,,,2012,,,,2452213,54,54,,,,,Radial Velocity,75 Cet,81.5,7.51,7.51,0,0.04,0.04,2.49,0.02,0.27,10.5,1,1,,,,4846,18,18
8 Umi b,,,,1.5,0.2,0.2,,,,93.4,4.5,4.5,0.49,0.03,0.03,0.06,0.18,0.18,,,,2015,91,84.6,84.6,2454108.5,22.8,22.8,,,,,Radial Velocity,8 Umi,159.1,11,11,-0.03,0.02,0.02,1.8,0.1,0.1,9.9,0.4,0.4,1.7,0.2,0.2,4847.4,7.5,7.5
81 Cet b,,,,5.3,,,,,,952.7,8.8,8.8,2.5,,,0.206,0.029,0.029,,,,2008,175,6.9,6.9,2452486,26,26,,,,,Radial Velocity,81 Cet,97.2,9.2,9.2,-0.06,0.03,0.03,2.4,0.4,0.4,11,0.1,0.1,,,,,,
91 Aqr b,,,,3.2,,,,,,181.4,0.1,0.1,0.7,,,0.027,0.026,0.026,,,,2003,177.3,0.8,0.8,2453472.1,24,24,,,,,Radial Velocity,91 Aqr,45.9,0.6,0.6,-0.03,0.1,0.1,1.4,0.1,0.1,11,0.1,0.1,3.56,0.63,0.63,4665,18,18
AB Dor C b,13,1,1,,,,,,,,,,0.58,,,,,,,,,2019,,,,,,,,,,,Imaging,AB Dor C,15.8,,,,,,0.072,0.013,0.013,,,,,,,,,
AB Pic b,13.5,0.5,0.5,,,,,,,,,,275,,,,,,,,,2005,,,,,,,,,,,Imaging,AB Pic,47.3,1.8,1.8,0.04,0.02,0.02,,,,,,,0.03,,,5285,9,10
AD 3116 b,54.2,4.3,4.3,,,,1.02,0.28,0.28,1.982796,6.4E-06,6.4E-06,,,,0.146,0.025,0.025,88.4,0.5,0.5,2017,5,20,20,,,,,,,,Primary Transit,AD 3116,186.54,4.991,4.991,,,,0.276,0.02,0.02,0.29,0.08,0.08,,,,3200,200,200
AS 205 A b,,,,19.25,1.96,1.96,,,,24.84,0.03,0.03,0.162,0.04,0.04,0.35,0.06,0.06,,,,2017,94.14,7.67,7.67,,,,,,,,Radial Velocity,AS 205A,140,,,0,0.5,0.5,0.9,,,3.7,,,,,,4300,300,300
AU Mic b,0.053,0.016,0.016,,,,0.3908,0.0161,0.0161,8.462991,2.4E-06,2.4E-06,0.0645,0.0013,0.0013,0,,,89.03,0.12,0.12,2020,,,,,,,,,,,Primary Transit,AU Mic,9.79,0.04,0.04,,,,0.5,0.03,0.03,0.75,0.03,0.03,0.022,0.003,0.003,3700,100,100
AU Mic c,0.0463,0.041,0.041,,,,0.3131,0.0143,0.0143,18.858991,1E-05,1E-05,0.1101,0.0022,0.0022,0,,,88.62,0.18,0.24,2020,,,,,,,,,,,Primary Transit,AU Mic,9.79,0.04,0.04,,,,0.5,0.03,0.03,0.75,0.03,0.03,0.022,0.003,0.003,3700,100,100
BD+03 2562 b,,,,6.4,1.3,1.3,,,,481.9,2.8,2.7,1.3,0.1,0.1,0.2,0.08,0.12,,,,2017,218,26,32,2453726,32,41,,,,,Radial Velocity,BD+03 2562,2618,564,564,-0.71,0.09,0.09,1.14,0.25,0.25,32.35,8.82,8.82,5.25,2,2,4095,20,20
BD+14 4559 b,,,,1.47,,,,,,268.94,0.99,0.99,0.777,,,0.29,0.03,0.03,,,,2009,87.64,7.87,7.87,2453294.21,6.35,6.35,,,,,Radial Velocity,BD+14 4559,50,4,4,0.1,0.07,0.07,0.86,0.15,0.15,,,,,,,5008,20,20
BD+15 2375 b,,,,1.06,0.27,0.27,,,,153.22,0.44,0.44,0.576,0.027,0.027,0.001,0.001,0.25,,,,2016,55,17,240,2457680,630,700,,,,,Radial Velocity,BD+15 2375,774,165,165,-0.22,0.08,0.08,1.08,0.14,0.14,8.95,1.45,1.45,7.4,,,4649,30,30
BD+15 2940 b,,,,1.11,,,,,,137.48,0.34,0.34,0.539,,,0.26,0.1,0.1,,,,2013,302,33,33,2453464,16,16,,,,,Radial Velocity,BD+15 2940,585,455,455,0.28,0.07,0.07,1.1,0.2,0.2,14.7,2.8,2.8,7.1,4.2,4.2,4796,117,117
BD+20 2457 b,,,,21.42,,,,,,379.63,2.01,2.01,1.45,,,0.15,0.03,0.03,,,,2009,207.64,21.99,21.99,2454677.53,28.19,28.19,,,,,Radial Velocity,BD+20 2457,1670,125,125,-1,0.07,0.07,2.8,1.5,1.5,,,,,,,4127,17,17
BD+20 2457 c,,,,12.47,,,,,,621.99,10.2,10.2,2.01,,,0.18,0.06,0.06,,,,2009,126.02,16.54,16.54,2453867.45,27.99,27.99,,,,,Radial Velocity,BD+20 2457,1670,125,125,-1,0.07,0.07,2.8,1.5,1.5,,,,,,,4127,17,17
BD+20 274 b,,,,4.2,,,,,,578.2,5.4,5.4,1.3,,,0.21,0.06,0.06,,,,2010,108.5,38.1,38.1,2453920.5,33.2,33.2,,,,,Default,BD+20 274,,,,-0.46,0.07,0.07,0.8,0.2,0.2,17.3,0.9,0.9,,,,4296,10,10
BD+20 594 b,0.07,0.03,0.03,0.0513,0.019,0.019,0.23,0.01,0.01,41.6855,0.0031,0.0031,0.241,0.019,0.019,0,,,89.55,0.14,0.17,2016,,,,,,,,,,,Primary Transit,BD+20 594,180.39,1.25,1.25,-0.15,0.05,0.05,1.67,0.4,0.4,1.08,0.06,0.06,3.34,1.49,1.95,5766,99,99
BD+24 4697 b,,,,53,3,3,,,,145.081,0.016,0.016,0.5,0.08,0.08,0.50048,0.00043,0.00043,,,,2016,66.35,0.09,0.09,2455986.042,0.037,0.037,,,,,Radial Velocity,BD+24 4697,44.7922,0.2605,0.2605,-0.11,0.02,0.02,0.75,0.05,0.05,,,,,,,5077,32,32
BD+26 1888 b,,,,26,2,2,,,,536.78,0.25,0.25,1.19,0.05,0.05,0.2675,0.0016,0.0016,,,,2016,1.3,0.7,0.7,2456548.3,0.9,0.9,,,,,Radial Velocity,BD+26 1888,38,,,0.02,0.04,0.04,0.76,0.08,0.08,,,,,,,4748,87,87
BD+45 564 b,,,,1.36,0.12,0.12,,,,307.88,1.47,1.47,0.83,0.04,0.04,0.12,0.06,0.06,,,,2021,70.31,51.85,51.85,2457734.61,6.1,6.1,,,,,Radial Velocity,BD+45 564,53.7,0.2,0.2,,,,,,,,,,,,,,,
BD+48 738 b,,,,0.91,,,,,,392.6,5.5,5.5,1,,,0.2,0.1,0.1,,,,2011,358.9,31.1,31.1,2454457.2,28.5,28.5,,,,,Radial Velocity,BD +48 738,,,,-0.2,0.07,0.07,0.74,0.39,0.39,11,1,1,,,,4414,15,15
BD+48 740 b,,,,1.7,0.7,0.7,,,,733,8,5,1.7,0.7,0.7,0.76,0.09,0.05,,,,2012,100,15,12,2454774,15,21,,,,,Default,BD+48 740,678.933,22.1256,22.1256,-0.13,0.06,0.06,1.09,0.16,0.16,10.33,1.81,1.81,,,,4534,8,8
BD+49 828 b,,,,1.6,0.2,0.4,,,,2590,180,300,4.2,0.2,0.32,0.35,0.1,0.24,,,,2015,170,32,32,2455470,170,200,,,,,Radial Velocity,BD+49 828,,,,-0.19,0.06,0.06,1.52,0.22,0.22,7.6,1.3,1.3,2.3,,,4943,30,30
BD+55 362 b,,,,0.72,0.08,0.08,,,,265.59,1.04,1.04,0.78,0.05,0.05,0.27,0.06,0.06,,,,2021,225.56,62.43,62.43,2458194.19,12.3,12.3,,,,,Radial Velocity,BD+55 362,52.65,0.1,0.1,,,,,,,,,,,,,,,
BD+63 1405 b,,,,3.96,0.31,0.31,,,,1198.48,,,2.06,0.14,0.14,0.88,0.02,0.02,,,,2021,92.25,3.76,3.76,2459440.02,61.72,61.72,,,,,Radial Velocity,BD+63 1405,38.09,0.04,0.04,,,,,,,,,,,,,,,
BD-00 4475 b,,,,23.05,2.23,2.23,,,,723.2,0.74,0.74,1.48,0.11,0.11,0.39,0.01,0.01,,,,2021,262.65,2.46,2.46,2458799.64,3.47,3.47,,,,,Radial Velocity,BD-00 4475,42.69,0.2,0.2,,,,,,,,,,,,,,,
BD-06 1339 b,,,,0.027,0.004,0.004,,,,3.8728,0.0004,0.0004,0.0428,0.0007,0.0007,0,,,,,,2013,360,,,2455220.5,0.1,0.1,,,,,Radial Velocity,BD-06 1339,20,1,1,-0.14,0.17,0.17,0.7,,,,,,4.4,4,4,4324,100,100
BD-06 1339 c,,,,0.17,0.03,0.03,,,,125.94,0.44,0.44,0.435,0.007,0.007,0.31,0.11,0.11,,,,2013,41,55,55,2455265.2,17.6,17.6,,,,,Radial Velocity,BD-06 1339,20,1,1,-0.14,0.17,0.17,0.7,,,,,,4.4,4,4,4324,100,100
BD-06 1339 d,,,,0.0582,0.0296,0.0365,,,,487,26,26,1.06,0.07,0.07,0.02,0.02,0.24,,,,2014,275,85,275,,,,,,,,Radial Velocity,BD-06 1339,20,1,1,-0.14,0.17,0.17,0.7,,,,,,4.4,4,4,4324,100,100
BD-08 2823 b,,,,0.045,0.007,0.007,,,,5.6,0.02,0.02,0.056,0.002,0.002,0.15,0.15,0.15,,,,2009,30,100,100,2454637.7,1.6,1.6,,,,,Radial Velocity,BD-08 2823,42.2,2.9,2.9,-0.07,0.03,0.03,0.74,0.07,0.07,,,,4.5,4,4,4746,63,63
BD-08 2823 c,,,,0.33,0.03,0.03,,,,237.6,1.5,1.5,0.68,0.02,0.02,0.19,0.09,0.09,,,,2009,127,21,21,2454193,13,13,,,,,Radial Velocity,BD-08 2823,42.2,2.9,2.9,-0.07,0.03,0.03,0.74,0.07,0.07,,,,4.5,4,4,4746,63,63
BD-10 3166 b,,,,0.46,,,1.03,,,3.4878,0.0001,0.0001,0.046,,,0.0104,0.0192,0.0104,,,,2000,345.4,83.9,83.9,2451844.7,,,,,,,Radial Velocity,BD-10 3166,66,,,0.5,,,0.99,,,1.71,,,4.18,,,5400,,
BD-11 4672 b,,,,0.65,0.05,0.05,,,,1634,14,14,2.36,0.04,0.04,0.05,0.05,0.05,,,,2010,344,67,93,2457915.3,34,48,,,,,Radial Velocity,BD-11 4672,27.3,1.3,1.3,-0.48,0.05,0.05,0.571,0.014,0.014,0.52,0.02,0.02,4.4,4,4,4475,100,100
BD-11 4672 c,,,,0.04836,0.0066,0.009,,,,74.2,0.08,0.08,0.3,0.01,0.01,0.4,0.15,0.15,,,,2020,246,27,23,2458687.5,5.9,5.7,,,,,Radial Velocity,BD-11 4672,27.3,1.3,1.3,-0.48,0.05,0.05,0.571,0.014,0.014,0.52,0.02,0.02,4.4,4,4,4475,100,100
BD-17 63 b,,,,5.1,0.12,0.12,,,,655.6,0.6,0.6,1.34,0.02,0.02,0.54,0.005,0.005,,,,2008,112.2,1.9,1.9,2454627.1,1.5,1.5,,,,,Radial Velocity,BD-17 63,34.6,1.5,1.5,-0.03,0.06,0.06,0.74,0.03,0.03,0.69,,,4.3,4,4,4714,93,93
CD Cet b,0.01244,0.00136, ,0.01243,0.00135,0.00135,,,,2.2907,0.00012,0.00012,0.0185,0.0013,0.0013,,,,87.48,87.48,0.25,2020,,,,2458804.489,0.018,0.018,,,,,Radial Velocity,CD Cet,8.609,0.007,0.007,0.13,0.16,0.16,0.161,0.01,0.01,0.175,0.006,0.006,3,2,2,3130,51,51
CD-35 2722 b,31,8,8,,,,,,,,,,67,4,4,,,,,,,2011,,,,,,,,,,,Imaging,CD-35 2722,21.3,1.4,1.4,0.04,0.5,0.5,0.4,0.05,0.05,,,,0.1,0.05,0.05,3680,100,100
