# name,mass,mass_error_min,mass_error_max,mass_sini,mass_sini_error_min,mass_sini_error_max,radius,radius_error_min,radius_error_max,orbital_period,orbital_period_error_min,orbital_period_error_max,semi_major_axis,semi_major_axis_error_min,semi_major_axis_error_max,eccentricity,eccentricity_error_min,eccentricity_error_max,inclination,inclination_error_min,inclination_error_max,discovered,omega,omega_error_min,omega_error_max,tperi,tperi_error_min,tperi_error_max,lambda_angle,lambda_angle_error_min,lambda_angle_error_max,log_g,detection_type,star_name,star_distance,star_distance_error_min,star_distance_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_age,star_age_error_min,star_age_error_max,star_teff,star_teff_error_min,star_teff_error_max
HD 154857 c,,,,2.58,0.16,0.16,,,,3452,105,105,5.36,0.09,0.09,0.06,0.05,0.05,,,,2014,352,37,37,2455219,375,375,,,,,Radial Velocity,HD 154857,64.2,3.1,3.1,-0.22,,,1.718,0.03,0.022,1.76,0.057,0.057,5.6,,,5445,,
HD 155193 b,,,,0.75,0.06,0.06,,,,352.65,2.58,2.58,1.04,0.04,0.04,0.21,0.08,0.08,,,,2021,62.88,36.21,36.21,2457590.7,7.62,7.62,,,,,Radial Velocity,HD 155193,57.9,0.2,0.2,,,,,,,,,,,,,,,
HD 155233 b,,,,2.6,0.3,0.3,,,,818.8,12,12,2,0.06,0.06,0.04,0.04,0.04,,,,2015,120,71,71,2456282,192,192,,,,,Radial Velocity,HD 155233,75.1,3.3,3.3,0.1,0.07,0.07,1.5,0.2,0.2,5,0.3,0.3,,,,4845,100,100
HD 155358 b,,,,0.85,0.05,0.05,,,,194.3,0.3,0.3,0.64,0.01,0.01,0.17,0.03,0.03,,,,2007,143,11,11,2451224.8,6,6,,,,,Radial Velocity,HD 155358,43,,,-0.51,0.06,0.06,0.92,,,,,,10.7,,,5900,100,100
HD 155358 c,,,,0.82,0.07,0.07,,,,391.9,1,1,1.02,0.02,0.02,0.16,0.1,0.1,,,,2007,180,26,26,2455345.4,28,28,,,,,Radial Velocity,HD 155358,43,,,-0.51,0.06,0.06,0.92,,,,,,10.7,,,5900,100,100
HD 156279 b,,,,9.71,0.66,0.66,,,,131.05,0.54,0.54,0.495,0.017,0.017,0.708,0.018,0.018,,,,2011,264.2,1.7,1.7,2455525.59,0.18,0.18,,,,,Radial Velocity,HD 156279,36.6,1,1,0.14,0.01,0.01,0.93,0.04,0.04,,,,4,3.6,3.6,5453,40,40
HD 156279 c,,,,8.6,0.55,0.55,,,,4191,310,270,,,,0.23,0.02,0.02,,,,2010,101,1.9,2.3,2455912,17,17,,,,,Radial Velocity,HD 156279,36.6,1,1,0.14,0.01,0.01,0.93,0.04,0.04,,,,4,3.6,3.6,5453,40,40
HD 156411 b,,,,0.74,0.04,0.05,,,,842.2,14.5,14.5,1.88,0.04,0.04,0.22,0.08,0.08,,,,2009,43,14,14,4356,33,33,,,,,Radial Velocity,HD 156411,55.1,2.5,2.5,-0.12,0.01,0.01,1.25,,,2.16,0.09,0.09,,,,5900,15,15
HD 156668 b,,,,0.0131,0.0018,0.0018,,,,4.646,0.0011,0.0011,0.05,0.0007,0.0007,0,,,,,,2010,,,,24718.57,0.11,0.11,,,,,Radial Velocity,HD 156668,24.5,0.5,0.5,0.05,0.06,0.06,0.772,0.02,0.02,0.72,0.013,0.013,8.6,4.8,4.8,4850,88,88
HD 156668 c,,,,0.0158,0.0013,0.0013,,,,,,,0.05025,0.00051,0.00051,0.235,0.072,0.072,,,,2017,,,,,,,,,,,Radial Velocity,HD 156668,24.5,0.5,0.5,0.05,0.06,0.06,0.772,0.02,0.02,0.72,0.013,0.013,8.6,4.8,4.8,4850,88,88
