  P2/P1  P3/P2   k0   k1   k2    FGlobal           
   1.345   1.707   6. -11.   5.    2.0212E-12
   1.335   1.672   6. -11.   5.    2.2656E-12
   1.324   1.637   6. -11.   5.    2.5418E-12
   1.314   1.603   6. -11.   5.    2.8548E-12
   1.303   1.571   6. -11.   5.    3.2103E-12
   1.292   1.540   6. -11.   5.    3.6153E-12
   1.281   1.509   6. -11.   5.    4.0783E-12
   1.270   1.480   6. -11.   5.    4.6097E-12
   1.259   1.452   6. -11.   5.    5.2224E-12
   1.248   1.424   6. -11.   5.    5.9329E-12
   1.237   1.398   6. -11.   5.    6.7621E-12
   1.226   1.372   6. -11.   5.    7.7373E-12
   1.215   1.347   6. -11.   5.    8.8964E-12
   1.203   1.322   6. -11.   5.    1.0328E-11
   1.192   1.299   6. -11.   5.    1.2145E-11
   1.180   1.276   6. -11.   5.    1.4462E-11
   1.169   1.254   6. -11.   5.    1.7487E-11
   1.157   1.232   6. -11.   5.    2.1500E-11
   1.145   1.211   6. -11.   5.    2.7007E-11
   1.134   1.191   6. -11.   5.    3.4502E-11
