  P2/P1  P3/P2   k0   k1   k2    FGlobal           
   1.691   1.707   3.  -8.   5.    1.3582E-12
   1.670   1.672   3.  -8.   5.    1.5143E-12
   1.648   1.637   3.  -8.   5.    1.6895E-12
   1.627   1.603   3.  -8.   5.    1.8864E-12
   1.606   1.571   3.  -8.   5.    2.1084E-12
   1.584   1.540   3.  -8.   5.    2.3590E-12
   1.562   1.509   3.  -8.   5.    2.6430E-12
   1.541   1.480   3.  -8.   5.    2.9660E-12
   1.519   1.452   3.  -8.   5.    3.3347E-12
   1.496   1.424   3.  -8.   5.    3.7580E-12
   1.474   1.398   3.  -8.   5.    4.2468E-12
   1.452   1.372   3.  -8.   5.    4.8155E-12
   1.429   1.347   3.  -8.   5.    5.4831E-12
   1.406   1.322   3.  -8.   5.    6.2841E-12
   1.384   1.299   3.  -8.   5.    7.2870E-12
   1.361   1.276   3.  -8.   5.    8.5614E-12
   1.337   1.254   3.  -8.   5.    1.0223E-11
   1.314   1.232   3.  -8.   5.    1.2372E-11
   1.291   1.211   3.  -8.   5.    1.5356E-11
   1.267   1.191   3.  -8.   5.    1.9325E-11
