  P2/P1  P3/P2   k0   k1   k2    FGlobal           
   1.829   1.707   1.  -3.   2.    2.7511E-12
   1.803   1.672   1.  -3.   2.    3.0192E-12
   1.778   1.637   1.  -3.   2.    3.3195E-12
   1.753   1.603   1.  -3.   2.    3.6649E-12
   1.727   1.571   1.  -3.   2.    4.0574E-12
   1.701   1.540   1.  -3.   2.    4.5073E-12
   1.675   1.509   1.  -3.   2.    5.0307E-12
   1.649   1.480   1.  -3.   2.    5.6308E-12
   1.622   1.452   1.  -3.   2.    6.3451E-12
   1.596   1.424   1.  -3.   2.    7.1753E-12
   1.569   1.398   1.  -3.   2.    8.1724E-12
   1.542   1.372   1.  -3.   2.    9.3579E-12
   1.515   1.347   1.  -3.   2.    1.0805E-11
   1.488   1.322   1.  -3.   2.    1.2567E-11
   1.460   1.299   1.  -3.   2.    1.4763E-11
   1.433   1.276   1.  -3.   2.    1.7509E-11
   1.405   1.254   1.  -3.   2.    2.1040E-11
   1.377   1.232   1.  -3.   2.    2.5589E-11
   1.349   1.211   1.  -3.   2.    3.1818E-11
   1.321   1.191   1.  -3.   2.    4.0093E-11
