  P2/P1  P3/P2   k0   k1   k2    FGlobal           
   1.552   1.707   3.  -7.   4.    2.1221E-12
   1.536   1.672   3.  -7.   4.    2.3271E-12
   1.519   1.637   3.  -7.   4.    2.5548E-12
   1.502   1.603   3.  -7.   4.    2.8086E-12
   1.485   1.571   3.  -7.   4.    3.0925E-12
   1.467   1.540   3.  -7.   4.    3.4114E-12
   1.450   1.509   3.  -7.   4.    3.7716E-12
   1.432   1.480   3.  -7.   4.    4.1805E-12
   1.415   1.452   3.  -7.   4.    4.6542E-12
   1.397   1.424   3.  -7.   4.    5.2200E-12
   1.379   1.398   3.  -7.   4.    5.9013E-12
   1.361   1.372   3.  -7.   4.    6.7297E-12
   1.343   1.347   3.  -7.   4.    7.7424E-12
   1.325   1.322   3.  -7.   4.    9.0055E-12
   1.307   1.299   3.  -7.   4.    1.0579E-11
   1.288   1.276   3.  -7.   4.    1.2595E-11
   1.270   1.254   3.  -7.   4.    1.5189E-11
   1.251   1.232   3.  -7.   4.    1.8606E-11
   1.233   1.211   3.  -7.   4.    2.3226E-11
   1.214   1.191   3.  -7.   4.    2.9451E-11
