  P2/P1  P3/P2   k0   k1   k2    FGlobal           
   1.967   1.707   3. -10.   7.    5.0435E-13
   1.937   1.672   3. -10.   7.    5.8151E-13
   1.908   1.637   3. -10.   7.    6.7073E-13
   1.878   1.603   3. -10.   7.    7.7400E-13
   1.848   1.571   3. -10.   7.    8.9371E-13
   1.818   1.540   3. -10.   7.    1.0327E-12
   1.787   1.509   3. -10.   7.    1.1943E-12
   1.757   1.480   3. -10.   7.    1.3826E-12
   1.726   1.452   3. -10.   7.    1.6025E-12
   1.695   1.424   3. -10.   7.    1.8602E-12
   1.664   1.398   3. -10.   7.    2.1632E-12
   1.632   1.372   3. -10.   7.    2.5208E-12
   1.601   1.347   3. -10.   7.    2.9452E-12
   1.569   1.322   3. -10.   7.    3.4520E-12
   1.537   1.299   3. -10.   7.    4.0620E-12
   1.505   1.276   3. -10.   7.    4.8033E-12
   1.472   1.254   3. -10.   7.    5.7156E-12
   1.440   1.232   3. -10.   7.    6.8558E-12
   1.407   1.211   3. -10.   7.    8.3096E-12
   1.374   1.191   3. -10.   7.    1.0264E-11
