  P2/P1  P3/P2   k0   k1   k2    FGlobal           
   1.932   1.707   4. -13.   9.    2.2086E-13
   1.904   1.672   4. -13.   9.    2.6454E-13
   1.875   1.637   4. -13.   9.    3.1697E-13
   1.847   1.603   4. -13.   9.    3.7997E-13
   1.818   1.571   4. -13.   9.    4.5574E-13
   1.789   1.540   4. -13.   9.    5.4699E-13
   1.759   1.509   4. -13.   9.    6.5703E-13
   1.730   1.480   4. -13.   9.    7.8997E-13
   1.700   1.452   4. -13.   9.    9.5084E-13
   1.670   1.424   4. -13.   9.    1.1459E-12
   1.640   1.398   4. -13.   9.    1.3831E-12
   1.610   1.372   4. -13.   9.    1.6723E-12
   1.579   1.347   4. -13.   9.    2.0260E-12
   1.549   1.322   4. -13.   9.    2.4604E-12
   1.518   1.299   4. -13.   9.    2.9968E-12
   1.487   1.276   4. -13.   9.    3.6630E-12
   1.456   1.254   4. -13.   9.    4.4973E-12
   1.424   1.232   4. -13.   9.    5.5530E-12
   1.393   1.211   4. -13.   9.    6.9073E-12
   1.361   1.191   4. -13.   9.    8.6770E-12
