  P2/P1  P3/P2   k0   k1   k2    FGlobal           
   2.105   1.707   3. -11.   8.    3.0650E-13
   2.071   1.672   3. -11.   8.    3.5897E-13
   2.037   1.637   3. -11.   8.    4.2053E-13
   2.003   1.603   3. -11.   8.    4.9284E-13
   1.969   1.571   3. -11.   8.    5.7785E-13
   1.935   1.540   3. -11.   8.    6.7792E-13
   1.900   1.509   3. -11.   8.    7.9592E-13
   1.865   1.480   3. -11.   8.    9.3530E-13
   1.830   1.452   3. -11.   8.    1.1003E-12
   1.794   1.424   3. -11.   8.    1.2960E-12
   1.759   1.398   3. -11.   8.    1.5290E-12
   1.723   1.372   3. -11.   8.    1.8073E-12
   1.687   1.347   3. -11.   8.    2.1411E-12
   1.650   1.322   3. -11.   8.    2.5437E-12
   1.614   1.299   3. -11.   8.    3.0325E-12
   1.577   1.276   3. -11.   8.    3.6309E-12
   1.540   1.254   3. -11.   8.    4.3713E-12
   1.503   1.232   3. -11.   8.    5.2998E-12
   1.465   1.211   3. -11.   8.    6.4843E-12
   1.428   1.191   3. -11.   8.    8.0296E-12
