  P2/P1  P3/P2   k0   k1   k2    FGlobal           
   2.036   1.707   2.  -7.   5.    1.0252E-12
   2.004   1.672   2.  -7.   5.    1.1372E-12
   1.973   1.637   2.  -7.   5.    1.2623E-12
   1.941   1.603   2.  -7.   5.    1.4023E-12
   1.909   1.571   2.  -7.   5.    1.5593E-12
   1.876   1.540   2.  -7.   5.    1.7359E-12
   1.844   1.509   2.  -7.   5.    1.9353E-12
   1.811   1.480   2.  -7.   5.    2.1612E-12
   1.778   1.452   2.  -7.   5.    2.4184E-12
   1.745   1.424   2.  -7.   5.    2.7128E-12
   1.711   1.398   2.  -7.   5.    3.0520E-12
   1.678   1.372   2.  -7.   5.    3.4457E-12
   1.644   1.347   2.  -7.   5.    3.9069E-12
   1.610   1.322   2.  -7.   5.    4.4528E-12
   1.575   1.299   2.  -7.   5.    5.1209E-12
   1.541   1.276   2.  -7.   5.    5.9668E-12
   1.506   1.254   2.  -7.   5.    7.0483E-12
   1.471   1.232   2.  -7.   5.    8.4547E-12
   1.436   1.211   2.  -7.   5.    1.0359E-11
   1.401   1.191   2.  -7.   5.    1.2928E-11
