  P2/P1  P3/P2   k0   k1   k2    FGlobal           
   1.414   1.707   1.  -2.   1.    8.9543E-12
   1.402   1.672   1.  -2.   1.    9.8297E-12
   1.389   1.637   1.  -2.   1.    1.0816E-11
   1.376   1.603   1.  -2.   1.    1.1936E-11
   1.363   1.571   1.  -2.   1.    1.3278E-11
   1.350   1.540   1.  -2.   1.    1.4811E-11
   1.337   1.509   1.  -2.   1.    1.6571E-11
   1.324   1.480   1.  -2.   1.    1.8641E-11
   1.311   1.452   1.  -2.   1.    2.1155E-11
   1.298   1.424   1.  -2.   1.    2.4099E-11
   1.284   1.398   1.  -2.   1.    2.7571E-11
   1.271   1.372   1.  -2.   1.    3.1843E-11
   1.257   1.347   1.  -2.   1.    3.7173E-11
   1.244   1.322   1.  -2.   1.    4.3644E-11
   1.230   1.299   1.  -2.   1.    5.1579E-11
   1.216   1.276   1.  -2.   1.    6.2039E-11
   1.202   1.254   1.  -2.   1.    7.5620E-11
   1.189   1.232   1.  -2.   1.    9.3030E-11
   1.174   1.211   1.  -2.   1.    1.1589E-10
   1.160   1.191   1.  -2.   1.    1.5007E-10
