  P2/P1  P3/P2   k0   k1   k2    FGlobal           
   1.296   1.707   7. -12.   5.    2.1695E-12
   1.287   1.672   7. -12.   5.    2.4329E-12
   1.278   1.637   7. -12.   5.    2.7309E-12
   1.269   1.603   7. -12.   5.    3.0690E-12
   1.260   1.571   7. -12.   5.    3.4537E-12
   1.250   1.540   7. -12.   5.    3.8928E-12
   1.241   1.509   7. -12.   5.    4.3958E-12
   1.232   1.480   7. -12.   5.    4.9746E-12
   1.222   1.452   7. -12.   5.    5.6439E-12
   1.213   1.424   7. -12.   5.    6.4223E-12
   1.203   1.398   7. -12.   5.    7.3339E-12
   1.194   1.372   7. -12.   5.    8.4100E-12
   1.184   1.347   7. -12.   5.    9.6952E-12
   1.174   1.322   7. -12.   5.    1.1287E-11
   1.164   1.299   7. -12.   5.    1.3311E-11
   1.155   1.276   7. -12.   5.    1.5892E-11
   1.145   1.254   7. -12.   5.    1.9257E-11
   1.135   1.232   7. -12.   5.    2.3740E-11
   1.125   1.211   7. -12.   5.    2.9886E-11
   1.115   1.191   7. -12.   5.    3.8523E-11
