  P2/P1  P3/P2   k0   k1   k2    FGlobal           
   1.725   1.707   4. -11.   7.    6.0907E-13
   1.703   1.672   4. -11.   7.    7.0600E-13
   1.681   1.637   4. -11.   7.    8.1876E-13
   1.659   1.603   4. -11.   7.    9.5006E-13
   1.636   1.571   4. -11.   7.    1.1032E-12
   1.613   1.540   4. -11.   7.    1.2819E-12
   1.591   1.509   4. -11.   7.    1.4910E-12
   1.568   1.480   4. -11.   7.    1.7360E-12
   1.544   1.452   4. -11.   7.    2.0238E-12
   1.521   1.424   4. -11.   7.    2.3625E-12
   1.498   1.398   4. -11.   7.    2.7626E-12
   1.474   1.372   4. -11.   7.    3.2368E-12
   1.451   1.347   4. -11.   7.    3.8014E-12
   1.427   1.322   4. -11.   7.    4.4775E-12
   1.403   1.299   4. -11.   7.    5.2927E-12
   1.379   1.276   4. -11.   7.    6.2848E-12
   1.354   1.254   4. -11.   7.    7.5060E-12
   1.330   1.232   4. -11.   7.    9.0323E-12
   1.305   1.211   4. -11.   7.    1.0988E-11
   1.281   1.191   4. -11.   7.    1.3677E-11
