  P2/P1  P3/P2   k0   k1   k2    FGlobal           
   2.243   1.707   1.  -4.   3.    1.3569E-12
   2.205   1.672   1.  -4.   3.    1.4774E-12
   2.167   1.637   1.  -4.   3.    1.6138E-12
   2.129   1.603   1.  -4.   3.    1.7694E-12
   2.090   1.571   1.  -4.   3.    1.9472E-12
   2.051   1.540   1.  -4.   3.    2.1511E-12
   2.012   1.509   1.  -4.   3.    2.3859E-12
   1.973   1.480   1.  -4.   3.    2.6588E-12
   1.933   1.452   1.  -4.   3.    2.9779E-12
   1.893   1.424   1.  -4.   3.    3.3521E-12
   1.853   1.398   1.  -4.   3.    3.7943E-12
   1.813   1.372   1.  -4.   3.    4.3253E-12
   1.772   1.347   1.  -4.   3.    4.9640E-12
   1.732   1.322   1.  -4.   3.    5.7395E-12
   1.690   1.299   1.  -4.   3.    6.7000E-12
   1.649   1.276   1.  -4.   3.    7.9011E-12
   1.607   1.254   1.  -4.   3.    9.4241E-12
   1.566   1.232   1.  -4.   3.    1.1392E-11
   1.523   1.211   1.  -4.   3.    1.4001E-11
   1.481   1.191   1.  -4.   3.    1.7514E-11
