  P2/P1  P3/P2   k0   k1   k2    FGlobal           
   1.331   1.707   5.  -9.   4.    2.7529E-12
   1.321   1.672   5.  -9.   4.    3.0318E-12
   1.311   1.637   5.  -9.   4.    3.3439E-12
   1.301   1.603   5.  -9.   4.    3.6946E-12
   1.291   1.571   5.  -9.   4.    4.0901E-12
   1.280   1.540   5.  -9.   4.    4.5385E-12
   1.270   1.509   5.  -9.   4.    5.0493E-12
   1.259   1.480   5.  -9.   4.    5.6362E-12
   1.249   1.452   5.  -9.   4.    6.3305E-12
   1.238   1.424   5.  -9.   4.    7.1634E-12
   1.228   1.398   5.  -9.   4.    8.1686E-12
   1.217   1.372   5.  -9.   4.    9.3958E-12
   1.206   1.347   5.  -9.   4.    1.0905E-11
   1.195   1.322   5.  -9.   4.    1.2790E-11
   1.184   1.299   5.  -9.   4.    1.5149E-11
   1.173   1.276   5.  -9.   4.    1.8197E-11
   1.162   1.254   5.  -9.   4.    2.2118E-11
   1.151   1.232   5.  -9.   4.    2.7307E-11
   1.140   1.211   5.  -9.   4.    3.4384E-11
   1.128   1.191   5.  -9.   4.    4.3892E-11
