  P2/P1  P3/P2   k0   k1   k2    FGlobal           
   1.276   1.707   3.  -5.   2.    5.3343E-12
   1.268   1.672   3.  -5.   2.    5.8888E-12
   1.259   1.637   3.  -5.   2.    6.5281E-12
   1.251   1.603   3.  -5.   2.    7.2578E-12
   1.242   1.571   3.  -5.   2.    8.1065E-12
   1.234   1.540   3.  -5.   2.    9.0866E-12
   1.225   1.509   3.  -5.   2.    1.0239E-11
   1.216   1.480   3.  -5.   2.    1.1587E-11
   1.207   1.452   3.  -5.   2.    1.3195E-11
   1.199   1.424   3.  -5.   2.    1.5103E-11
   1.190   1.398   3.  -5.   2.    1.7416E-11
   1.181   1.372   3.  -5.   2.    2.0209E-11
   1.172   1.347   3.  -5.   2.    2.3673E-11
   1.163   1.322   3.  -5.   2.    2.7935E-11
   1.153   1.299   3.  -5.   2.    3.3355E-11
   1.144   1.276   3.  -5.   2.    4.0181E-11
   1.135   1.254   3.  -5.   2.    4.9119E-11
   1.126   1.232   3.  -5.   2.    6.0971E-11
   1.116   1.211   3.  -5.   2.    7.7119E-11
   1.107   1.191   3.  -5.   2.    9.8933E-11
