  P2/P1  P3/P2   k0   k1   k2    FGlobal           
   1.518   1.707   4.  -9.   5.    1.6262E-12
   1.502   1.672   4.  -9.   5.    1.8183E-12
   1.486   1.637   4.  -9.   5.    2.0346E-12
   1.470   1.603   4.  -9.   5.    2.2785E-12
   1.454   1.571   4.  -9.   5.    2.5543E-12
   1.438   1.540   4.  -9.   5.    2.8669E-12
   1.422   1.509   4.  -9.   5.    3.2223E-12
   1.405   1.480   4.  -9.   5.    3.6277E-12
   1.389   1.452   4.  -9.   5.    4.0921E-12
   1.372   1.424   4.  -9.   5.    4.6269E-12
   1.356   1.398   4.  -9.   5.    5.2465E-12
   1.339   1.372   4.  -9.   5.    5.9696E-12
   1.322   1.347   4.  -9.   5.    6.8213E-12
   1.305   1.322   4.  -9.   5.    7.8593E-12
   1.288   1.299   4.  -9.   5.    9.1692E-12
   1.270   1.276   4.  -9.   5.    1.0834E-11
   1.253   1.254   4.  -9.   5.    1.3014E-11
   1.236   1.232   4.  -9.   5.    1.5869E-11
   1.218   1.211   4.  -9.   5.    1.9803E-11
   1.200   1.191   4.  -9.   5.    2.5055E-11
