  P2/P1  P3/P2   k0   k1   k2    FGlobal           
   1.311   1.707   4.  -7.   3.    3.5424E-12
   1.301   1.672   4.  -7.   3.    3.8822E-12
   1.292   1.637   4.  -7.   3.    4.2714E-12
   1.282   1.603   4.  -7.   3.    4.7195E-12
   1.273   1.571   4.  -7.   3.    5.2387E-12
   1.263   1.540   4.  -7.   3.    5.8429E-12
   1.253   1.509   4.  -7.   3.    6.5499E-12
   1.243   1.480   4.  -7.   3.    7.3833E-12
   1.233   1.452   4.  -7.   3.    8.3725E-12
   1.223   1.424   4.  -7.   3.    9.5552E-12
   1.213   1.398   4.  -7.   3.    1.0980E-11
   1.203   1.372   4.  -7.   3.    1.2713E-11
   1.193   1.347   4.  -7.   3.    1.4841E-11
   1.183   1.322   4.  -7.   3.    1.7483E-11
   1.173   1.299   4.  -7.   3.    2.0821E-11
   1.162   1.276   4.  -7.   3.    2.5089E-11
   1.152   1.254   4.  -7.   3.    3.0632E-11
   1.141   1.232   4.  -7.   3.    3.7964E-11
   1.131   1.211   4.  -7.   3.    4.7870E-11
   1.120   1.191   4.  -7.   3.    6.1619E-11
